a,b
,약물 치료가 싫은 경우에는 대체할것이 있나요?
,약물을 규칙적으로 복용하기가 힘들경우에는 어떻게 해야하나요?
,주사가 약물보다 특별한 효능이 있나요?
,주사가 약물의 단점을 보완한 제품인가요?
,약물에 대한 부작용이 나타났는데 다른 대체 방안이 있나요?
,주사와 먹는 약은 어떤 점이 다른가요?
,먹는 약과 주사의 차이점이 있나요?
,장기지속형 주사제는 경구양과 무엇이 다른가요?
,먹는 약과 주사는 효과가 다른가요?
,먹는약과 주사는 효과가 같나요?
,먹는 약과 주사의 차이가 있나요?
,장기지속형 주사제가 도움이 되나요?
,조현병 치료에 주사와 먹는약 무엇이 더 좋나요?
,조현병 치료에 주사와 먹는 약 뭐가 더 효과가 좋나요?
,조현병 치료에 주사와 먹는 약 어느것이 더 좋나요?
,먹는 약과 주사는 뭐가 다른가요?
,장기지속형주사제와 먹는 약의 차이점이 있나요?
,장기지속형주사제는 먹는 약과 효과가 다른가요?
,장기지속형주사제는 먹는 약과 효과가 같나요?
,장기지속형주사제는 먹는 약과 차이가 있나요?
,조현병 치료에 장기지속형 주사제가 도움이 되나요?
,주사를 이용한 치료방법이 있다던데 그 방식이 더 효과가 좋나요?
,주사를 이용한 치료방법이 있다던데 그 방식과 먹는 약 어느게 더 좋은가요?
,주사를 이용한 치료방법이 있다던데 그 방식과 먹는 약 어느게 더 효과가 좋은가요?
,장기지속형 주사제는 먹는 약과 어떤 점이 다른가요?
,먹는 약과 장기지속형 주사의 차이점이 있나요?
,먹는 약과 장기지속형 주사는 효과가 다른가요?
,먹는약과 장기지속형 주사는 효과가 같나요?
,먹는 약과 장기지속형 주사의 차이가 있나요?
,먹는 약과 장기지속형 주사는 뭐가 다른가요?
,장기지속형 주사제가 무엇인가요?
,장기지속형 주사제가 효과가 있나요?
,약물 투약은 어떻게 하나요?
,주사를 맞지 못하면 어떻게 하나요?
,주사제의 효능이 어떤건가요?
,약물치료보다 주사 치료가 나은가요?
,약물치료랑 주사치료 중에 뭐가 더 나은가요?
,약물치료랑 주사치료를 병행하나요?
,주사치료 말고 약물만 진행해도 되나요?
,약물만 먹어도 되는거면 주사는 맞지 않아도 되나요?
,약물과 주사의 차이점이 있나요?
,주사는 안맞고 약물만 먹어도 될까요?
,약물 말고 다른 방법으로 투약할 수는 없을까요?
,주사치료도 있다고 하는데 주사치료 받을 수 있을까요?
,주사 치료가 효과가 더 좋은가요?
,주사치료는 약물치료에 비해서 뭐가 좋은가요?
,약물과 주사치료 중에 뭐가 더 효과가 좋은가요?
,약물보다는 주사치료를 원하는데 어떤 차이가 있나요?
,약물과 주사치료를 병행해도 되나요?
,약물을 먹기힘든데 어떻게 해야할까요?
,주사치료로 바꾸면은 문제가 있을까요?
,약물복용이 힘들어 주사치료를 받고 싶어요
,생활이 불규칙해 약물 복용이 힘들어요
,약물과 주사치료 동시에 진행이 되는건가요?
,약물치료가 힘든데 다른 방법은 없을까요?
,장기지속형 주사제의 효과가 더 좋은가요?
,약물 외에 다른 방법은 없을까요?
,주사치료가 효과가 더 좋은가요?
,약물 치료말고 주사치료로 변경해도 괜찮을까요?
,먹는 약과 주사의 차이점이 뭔가요?
,먹는 약과 주사의 차이가 뭔가요?
,먹는 약과 주사가 다른 점이 있나요?
,먹는 약과 주사의 성분이 다른 건가요?
,먹는 약보다 주사가 더 효과가 좋은가요?
,먹는 약과 주사 중 어떤게 더 좋나요?
,장기지속형 주사제 맞았으면 경구약은 안먹어도 되나요?
,주사도 있다던데 약보다 효과가 더 좋은건가요?
,장기지속형 주사제가 경구약보다 효과가 좋은가요?
,경구약과 장기지속형주사제의 다른 점이 뭔가요?
,경구약과 장기지속형주사제의 차이점이 뭔가요?
,경구약과 장기지속형주사제의 차이점이 있나요?
,먹는 약이랑 주사랑 뭐가 다른 건가요?
,먹는 약이 주사보다 더 좋은 건가요?
,경구약과 장기지속형주사제 중 어떤게 더 도움이 되나요?
,장기지속형 주사제가 더 좋은 점이 있나요?
,먹는 약과 주사의 효과는 똑같나요?
,먹는 약과 주사의 성분은 뭐가 다른가요?
,주사치료가 더 빨리 나을 수 있는 건가요?
,경구약 먹고 있으면 주사는 꼭 안맞아도 되는건가요?
,약을 규칙적으로 먹는게 힘든데 주사도 도움이 되나요?
,약을 매번 챙겨 먹기 힘든데 주사도 괜찮나요?
,잊어버려서 약 복용시간을 놓칠 때가 많은데 주사를 맞아도 똑같나요?
,약을 먹는게 낫나요 주사를 맞는게 낫나요?
,약과 주사제 중에 더 좋은 게 있나요?
,경구약 복용 중이면 장기지속형 주사제는 안맞아도 되는 건가요?
,경구약과 주사의 차이가 있나요?
,먹는약과 주사의 차이가 있나요?
,먹는 약말고 주사를 맞아야 하는 경우는 어떤 경우인가요?
,경구약 말고 주사를 맞아야 하는 경우가 있나요?
,먹는 약 말고 주사를 맞아야 하는 경우가 있나요?
,먹는 약 말고 주사만 맞아야하는 경우가 있나요?
,경구약 말고 주사를 맞아야 하는 경우는 어떤 경우인가요?
,주사제가 필수일 때가 있나요?
,반드시 주사를 맞아야 할 경우가 있나요?
,장기 지속형 주사를 맞아야 할 이유가 있나요?
,반드시 장기 지속형 주사를 맞아야 하나요?
,주사를 맞아야 하는 경우가 있나요?
,주사제를 선택하는 경우는 어떤 경우죠?
,경구약 말고 주사제를 추천하는 경우가 있나요?
,장기 지속형 주사제를 추천하는 이유가 뭔가요?
,장기지속형 주사에 대해서 알려주세요
,장기지속형 주사제를 알고싶어요
,장기지속형 주사제가 궁금해요
,장기지속형 주사제에 대하여 알려주세요
,조현병 약물치료에서 장기지속형 주사제가 뭔가요?
,조현병 약물치료에서 주사를 추천할 때가 있나요?
,조현병 약물치료에서 주사를 맞아야 할 때는 어떤 경우인가요?
,조현병 약물치료에서 반드시 주사를 맞아야 할 때가 있나요?
,조현병 약물치료에서 주사제를 추천할 경우가 있나요?
,장기지속형 주사제는 어떤 환자에게 도움이 되나요?
,장기지속형 주사제를 맞는 환자는 어떤 경우인가요?
,장기지속형 주사제가 적합한 환자는 어떤 경우인가요?
, 주사와 약의 성분은 같은가요?
, 부작용의 차이가 있나요?
, 주사를 맞지 못하는 상황이라면 어떻게 해야 하나요?
,주사 는  약과 차이점이 있나요
,주사와 약물은 가격차이가 있나요
,주사제 가격을 알고싶어요
,장기지속형 주사제가 효과가 더 좋나요?
,주사가 치료에 더 효과적인가요?
,치료약과 주사 중 어떤 것이 효과가 더 좋나요?
,약과 주사의 차이는 무엇인가요?
,장기지속형 주사제란?
,약물 순응도가 낮은 환자들에게는 어떤 특징이 있나요
,약물 순응도가 낮은 환자들은 어떤식으로 치료가 진행되나요
,먹는 약과 주사 둘 다 진행 할 수는 없는건가요
,장기 지속형 주사제가 먹는 약보다 좋은 점이 있나요? 
,먹는약 대신에 주사를 맞는게 더 좋나요? 
,먹는약보다 주사가 좋은 점이 뭔가요? 
,장기지속형 주사가 더 효과가 좋나요?
,조현병 치료약과 주사제의 효과 차이가 어느정도 나나요?
,주사제로 처방을 받았으면 후에 이상증세는 없었나요?
,꼭 주사제로 차료해야될까요
,약물로만 치료해야될까요
,환자들에게 위험하진 않나요
,약과 주사를 같이해도 되나요?
,장기지속형이약보다 효율이 더 좋나요?
,장기지속형보다 약을먹는게 더 좋나요
,약과 주사를 같이해도 되나요?
,장기지속형이약보다 효율이 더 좋나요?
,장기지속형보다 약을먹는게 더 좋나요
,먹는 약과 주사중 어떤것이 좋나요?
,조현병이 완치된후에도 맞아야하나요?
,약과 같은 후유증이 일어나지 않나요?
,약물이 맞지 않은 사람에게 도움이 되는 치료법이 있을까요?
,조현병 치료에 주사가 도움이 될까요?
,주사제 치료가 꼭 필요한가요?
,주사제와 약의 비용의 차이는 어떻게 되나요
,보통 어떤 방법으로 치료하나요
,권장하시는 방법은 무엇인가요
,약과 주사의 차이는 무엇인가요?
,약과 주사중에 어느 것이 더 저렴할까요
,주사는 성분이 다를까요?
,약물 치료보다 주사제가 치료에 더 효율적인가요?
,주사제를 한 번 맞는것으로 증상이 호전될 수 있나요?
,조현병 주사제는 어느 부위에 놓나요?
,사정이 있어서 약물을 정기적으로 복용하지 못하는 데 그럴때는 어떤 방법이 있나요?
,경구약과 장기지속형 주사제의 차이는 뭔가요?
답변,"보통의 경우, 조현병의 약물치료의 목표가 되는 증상은 망상, 환청, 기이한 말과 행동과 같은 양성 증상입니다. 이에 반해서 상대적으로 무감동, 위축, 무의지와 같은 음성 증상은 약물치료에 잘 반응하지 않습니다. 또한 동반되는 우울감은 항우울제를 사용하면 증상 호전을 기대할 수 있습니다."
유사질문,1. 약물이 저의 어떤 증상에 효과가 있나요
,약을 먹으면 어떤 증상이 나아지나요?
,제 증상에 약이 효과가 있을까요?
,조현병 증상 어느부분에 약물이 효과가 있을까요?
,약을 먹으면 증상에 호전이 있을까요?
,약의 효능이 궁금해요
,약이 어떤 기능을 하나요
,약물을 먹었을때 뭐가 달라지나요
,"무감동, 무의지와 같은 음성 증상에 약물치료가 도움이 되나요?"
,우울감은 어떻게 호전할 수 있을까요?
,약을 먹어도 증상이 호전 되지 않습니다.
,증상에 따라 알맞은 약이 있나요?
,약물치료가 듣지 않으면 어떻게 해야 하나요?
,약물이 효과 없는 경우도 있나요?
,항우울제랑 병행 복용 가능한가요?
,"망상, 환청은 약물치료가 효과적인가요?"
,약물 치료가 추천되는 증상은 어떤증상이 있나요?
,약물 치료가 효과가 없는 증상도 있나요?
,음성 증상일 경우에는 원래 약물 치료가 잘 안되나요?
,약물 치료도중 우울증 증세가 나타날 수 있나요?
,약물 치료만 하면 해결 되나요?
,약물 치료가 효과 없는데 이상 있는 건가요?
,음성 증상이라고 하는데 약물치료는 추천되지 않나요?
,약물 치료의 목적은 무엇인가요?
,약물치료가 도움되지 않습니다.
,약물 치료중인데 우울증이 심합니다.
,약물 치료가 잘 안되는데 정상인가요?
,양성 증상이라고 들었는데 약물치료가 최적인가요?
,약물 치료를 하는데도 발전이 없어 우울합니다.
,양성 증상과 음성 증상에서의 약물 효능이 차이가 있나요?
,"무감동, 무의지 증상은 원래 약물 치료 효과가 거의 없나요?"
,증상에 따라 약효능이 다르나요?
,증상에 따라 치료방법이 다른가요?
,항우울제도 같이 처방 가능한가요?
,저만 약이 안통하나요?
,약물 복용시 증상이 좋아질수 있나요?
,약물 복용시 어떤 가능을 하나요?
,약물 복용시 효과가 궁금해요
,약의 효과가 무엇이 있나요?
,"약물치료가 무감동, 무의지와 같은 음성 증상에 도움이 되나요?"
,약물치료시 제 증상에 효과가 있을까요?
,약물치료시 제 증상이 좋아질까요?
